sample39
ax,ay,az
0.02,-0.01,-1.00
0.03,-0.01,-1.00
0.05,-0.01,-1.00
0.05,-0.01,-1.00
0.05,-0.01,-1.00
0.05,-0.00,-1.00
0.03,0.01,-1.00
0.02,0.02,-1.00
-0.03,0.04,-1.00
-0.07,0.06,-1.00
-0.09,0.07,-1.00
-0.11,0.08,-1.00
-0.12,0.09,-1.00
-0.12,0.08,-1.00
-0.11,0.08,-1.00
-0.09,0.07,-1.00
-0.07,0.06,-1.00
-0.06,0.05,-1.00
-0.05,0.04,-1.00
-0.06,0.03,-1.00
-0.08,0.03,-1.00
-0.09,0.03,-1.00
-0.10,0.02,-1.00
-0.11,0.02,-1.00
-0.11,0.01,-1.00
-0.11,-0.00,-1.00
-0.09,-0.02,-1.00
-0.07,-0.03,-1.00
-0.04,-0.04,-1.00
-0.00,-0.05,-1.00
0.03,-0.04,-1.00
0.05,-0.04,-1.00
0.08,-0.03,-1.00
0.10,-0.02,-1.00
0.11,0.00,-1.00
0.12,0.02,-1.00
0.13,0.02,-1.00
0.14,0.03,-1.00
0.16,0.03,-1.00
0.18,0.03,-1.00
0.20,0.03,-1.00
0.21,0.02,-1.00
0.22,0.01,-1.00
0.22,0.01,-1.00
0.20,0.00,-1.00
0.17,0.00,-1.00
0.12,0.01,-1.00
0.07,0.01,-1.00
0.01,0.02,-1.00
-0.05,0.03,-1.00
-0.11,0.04,-1.00
-0.16,0.05,-1.00
-0.20,0.06,-1.00
-0.23,0.07,-1.00
-0.25,0.08,-1.00
-0.27,0.09,-1.00
-0.29,0.10,-1.00
-0.29,0.10,-1.00
-0.29,0.10,-1.00
-0.29,0.10,-1.00
-0.28,0.09,-1.00
-0.25,0.07,-1.00
-0.21,0.06,-1.00
-0.16,0.04,-1.00
-0.10,0.02,-1.00
-0.03,-0.00,-1.00
0.04,-0.02,-1.00
0.10,-0.03,-1.00
0.16,-0.03,-1.00
0.20,-0.03,-1.00
0.23,-0.03,-1.00
0.23,-0.03,-1.00
0.23,-0.02,-1.00
0.21,-0.02,-1.00
0.18,-0.01,-1.00
0.14,-0.01,-1.00
0.11,-0.00,-1.00
0.09,0.00,-1.00
0.06,0.00,-1.00
0.04,0.00,-1.00
0.03,-0.00,-1.00
0.02,-0.00,-1.00
0.02,-0.00,-1.00
0.01,-0.00,-1.00
0.01,-0.00,-1.00
0.01,-0.00,-1.00
0.01,-0.00,-1.00
0.01,-0.00,-1.00
0.01,-0.00,-1.00
0.01,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,0.00,-1.00
0.01,0.01,-1.00
0.01,0.01,-1.00
0.01,0.01,-1.00
0.01,0.02,-1.00
0.02,0.02,-1.00
0.03,0.01,-1.00
0.06,0.00,-1.00
0.09,-0.01,-1.00
0.13,-0.04,-1.00
0.16,-0.05,-1.00
0.19,-0.07,-1.00
0.22,-0.08,-0.99
0.23,-0.08,-0.99
0.22,-0.08,-0.99
0.20,-0.07,-0.99
0.16,-0.06,-0.99
0.11,-0.04,-1.00
0.06,-0.03,-1.00
0.01,-0.01,-1.00
-0.04,0.01,-1.00
-0.08,0.03,-1.00
-0.11,0.04,-1.01
-0.13,0.05,-1.01
-0.14,0.06,-1.01
-0.15,0.07,-1.01
-0.16,0.08,-1.01
-0.16,0.08,-1.01
-0.15,0.07,-1.01
-0.14,0.06,-1.01
-0.12,0.05,-1.01
-0.11,0.04,-1.00
-0.09,0.03,-1.00
-0.07,0.02,-1.00
-0.05,0.02,-1.00
-0.03,0.01,-1.00
-0.02,0.01,-1.00
-0.01,0.00,-1.00
-0.01,0.00,-1.00
-0.00,-0.00,-1.00
0.01,0.01,-1.00
0.01,0.01,-1.00
0.01,0.01,-1.00
0.02,0.01,-1.00
0.01,0.01,-1.00
0.01,0.01,-1.00
0.01,0.01,-1.00
0.01,0.00,-1.00
0.00,-0.01,-1.00
-0.00,-0.01,-1.00
-0.00,-0.01,-1.00
-0.00,-0.01,-1.00
-0.00,-0.01,-1.00
-0.00,-0.01,-1.00
0.00,-0.01,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,0.00,-1.00
0.00,0.00,-1.00
0.00,0.00,-1.00
0.00,0.00,-1.00
0.00,-0.00,-1.00
0.00,0.00,-1.00
0.00,0.00,-1.00
0.00,0.00,-1.00
0.00,0.01,-1.00
0.00,0.00,-1.00
0.00,0.00,-1.00
0.00,0.00,-1.00
0.00,-0.00,-1.01
0.00,-0.00,-1.01
0.00,-0.00,-1.01
0.00,-0.01,-1.00
0.00,-0.01,-1.00
0.00,-0.01,-1.00
0.00,-0.01,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,0.00,-1.00
0.00,0.00,-1.00
0.00,0.00,-1.00
0.00,0.00,-0.99
0.00,0.01,-0.99
-0.00,0.01,-0.99
-0.01,0.01,-0.99
-0.01,0.00,-0.99
-0.01,0.00,-0.99
-0.02,0.00,-0.99
-0.03,-0.00,-0.99
-0.04,-0.00,-1.00
-0.05,-0.01,-1.00
-0.05,-0.01,-1.00
-0.06,-0.02,-1.00
-0.06,-0.03,-1.00
-0.05,-0.03,-1.00
-0.03,-0.02,-1.00
-0.01,-0.01,-1.00
0.02,-0.01,-1.00
0.04,-0.00,-1.00
0.05,0.00,-1.00
0.06,0.02,-1.00
0.07,0.02,-1.00
0.06,0.02,-1.00
0.05,0.02,-1.00
0.04,0.01,-1.00
0.03,0.01,-1.00
0.02,0.00,-1.00
0.01,0.00,-1.00
0.01,0.01,-1.00
0.02,0.01,-1.00
0.02,0.01,-1.00
0.02,0.01,-1.00
0.02,0.01,-1.00
0.01,0.01,-1.00
0.01,0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.01,-1.00
-0.01,-0.01,-1.00
-0.01,-0.01,-1.00
-0.01,-0.01,-1.00
-0.01,-0.01,-1.00
-0.00,-0.00,-1.00
-0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.01,0.01,-1.02
0.02,0.02,-1.02
0.02,0.02,-1.01
0.01,0.01,-1.01
0.01,0.01,-1.01
0.01,0.01,-1.02
0.01,0.00,-1.02
0.01,0.00,-1.02
0.01,-0.01,-1.00
-0.00,-0.01,-1.00
-0.01,-0.01,-1.00
-0.01,-0.01,-1.00
-0.01,-0.01,-1.00
-0.01,-0.01,-1.00




