sample4
ax,ay,az
-0.01,-0.22,-0.97
-0.01,-0.22,-0.97
-0.01,-0.21,-0.97
-0.01,-0.21,-0.97
-0.02,-0.20,-0.98
-0.02,-0.20,-0.98
-0.02,-0.19,-0.98
-0.03,-0.19,-0.98
-0.03,-0.19,-0.98
-0.02,-0.19,-0.98
-0.02,-0.19,-0.99
-0.01,-0.19,-0.99
-0.00,-0.19,-0.99
0.01,-0.19,-1.00
0.03,-0.19,-1.00
0.06,-0.19,-1.01
0.09,-0.20,-1.02
0.12,-0.20,-1.03
0.15,-0.20,-1.04
0.18,-0.20,-1.06
0.20,-0.21,-1.08
0.22,-0.20,-1.11
0.23,-0.20,-1.13
0.24,-0.19,-1.15
0.24,-0.19,-1.17
0.23,-0.18,-1.19
0.21,-0.17,-1.21
0.19,-0.16,-1.22
0.16,-0.14,-1.23
0.12,-0.13,-1.24
0.08,-0.11,-1.24
0.03,-0.09,-1.24
-0.01,-0.08,-1.24
-0.05,-0.06,-1.23
-0.09,-0.05,-1.22
-0.13,-0.04,-1.21
-0.16,-0.03,-1.20
-0.19,-0.03,-1.20
-0.22,-0.03,-1.19
-0.23,-0.03,-1.17
-0.24,-0.03,-1.16
-0.25,-0.04,-1.14
-0.26,-0.04,-1.12
-0.28,-0.05,-1.10
-0.29,-0.05,-1.08
-0.31,-0.05,-1.06
-0.32,-0.05,-1.04
-0.35,-0.04,-1.03
-0.38,-0.04,-1.01
-0.41,-0.03,-1.00
-0.44,-0.02,-0.98
-0.48,-0.01,-0.98
-0.51,-0.01,-0.97
-0.55,0.00,-0.96
-0.58,0.01,-0.96
-0.61,0.01,-0.96
-0.64,0.02,-0.96
-0.66,0.02,-0.96
-0.67,0.03,-0.96
-0.68,0.03,-0.95
-0.68,0.03,-0.95
-0.68,0.03,-0.94
-0.66,0.04,-0.93
-0.65,0.04,-0.92
-0.62,0.04,-0.90
-0.60,0.05,-0.89
-0.57,0.05,-0.87
-0.54,0.06,-0.86
-0.51,0.07,-0.84
-0.48,0.07,-0.82
-0.45,0.08,-0.80
-0.42,0.08,-0.79
-0.39,0.09,-0.77
-0.36,0.10,-0.76
-0.34,0.10,-0.75
-0.31,0.11,-0.74
-0.29,0.11,-0.73
-0.26,0.11,-0.72
-0.24,0.12,-0.71
-0.22,0.12,-0.70
-0.19,0.12,-0.69
-0.17,0.12,-0.68
-0.15,0.12,-0.67
-0.13,0.11,-0.66
-0.10,0.11,-0.64
-0.08,0.11,-0.64
-0.06,0.10,-0.63
-0.04,0.10,-0.62
-0.02,0.10,-0.61
-0.01,0.10,-0.61
0.01,0.10,-0.60
0.02,0.09,-0.60
0.03,0.09,-0.60
0.04,0.08,-0.59
0.06,0.08,-0.59
0.07,0.07,-0.59
0.09,0.07,-0.59
0.11,0.06,-0.60
0.12,0.05,-0.61
0.14,0.04,-0.62
0.15,0.04,-0.63
0.16,0.03,-0.65
0.16,0.02,-0.68
0.16,0.01,-0.71
0.16,0.00,-0.74
0.16,-0.00,-0.76
0.16,-0.01,-0.79
0.16,-0.02,-0.82
0.16,-0.03,-0.85
0.17,-0.03,-0.88
0.17,-0.04,-0.90
0.18,-0.05,-0.93
0.20,-0.05,-0.94
0.22,-0.06,-0.96
0.24,-0.07,-0.97
0.27,-0.07,-0.98
0.29,-0.07,-0.99
0.32,-0.08,-1.00
0.35,-0.08,-1.01
0.37,-0.08,-1.01
0.40,-0.09,-1.02
0.41,-0.09,-1.04
0.42,-0.09,-1.05
0.43,-0.10,-1.07
0.43,-0.10,-1.09
0.42,-0.11,-1.11
0.41,-0.11,-1.13
0.40,-0.11,-1.15
0.38,-0.12,-1.17
0.37,-0.12,-1.18
0.35,-0.12,-1.19
0.34,-0.12,-1.19
0.32,-0.13,-1.20
0.29,-0.13,-1.21
0.27,-0.12,-1.22
0.24,-0.12,-1.23
0.21,-0.12,-1.24
0.18,-0.12,-1.25
0.15,-0.11,-1.26
0.12,-0.11,-1.26
0.09,-0.11,-1.26
0.07,-0.11,-1.25
0.05,-0.11,-1.24
0.04,-0.11,-1.23
0.02,-0.12,-1.21
-0.01,-0.12,-1.19
-0.03,-0.12,-1.17
-0.05,-0.13,-1.15
-0.08,-0.13,-1.13
-0.10,-0.14,-1.12
-0.13,-0.14,-1.10
-0.15,-0.15,-1.09
-0.18,-0.16,-1.07
-0.20,-0.17,-1.07
-0.23,-0.17,-1.06
-0.24,-0.18,-1.06
-0.26,-0.19,-1.05
-0.27,-0.20,-1.05
-0.28,-0.21,-1.05
-0.28,-0.21,-1.04
-0.27,-0.22,-1.04
-0.27,-0.22,-1.03
-0.26,-0.22,-1.03
-0.25,-0.22,-1.02
-0.23,-0.22,-1.02
-0.22,-0.22,-1.01
-0.20,-0.22,-1.01
-0.19,-0.22,-1.00
-0.17,-0.22,-1.00
-0.16,-0.21,-0.99
-0.14,-0.21,-0.99
-0.12,-0.21,-0.99
-0.11,-0.21,-0.99
-0.09,-0.21,-0.99
-0.08,-0.21,-0.99
-0.07,-0.21,-0.99
-0.06,-0.20,-0.99
-0.05,-0.20,-0.99
-0.04,-0.20,-0.99
-0.03,-0.20,-0.99
-0.02,-0.20,-0.99
-0.02,-0.20,-0.99
-0.01,-0.20,-0.98
-0.01,-0.20,-0.98
-0.00,-0.20,-0.98
