sample29
ax,ay,az
0.06,0.00,-0.99
0.04,-0.04,-0.99
0.02,-0.07,-0.99
0.01,-0.11,-0.98
-0.01,-0.15,-0.98
-0.03,-0.20,-0.98
-0.05,-0.24,-0.97
-0.08,-0.29,-0.98
-0.08,-0.29,-0.98
-0.09,-0.30,-0.99
-0.10,-0.31,-0.99
-0.10,-0.31,-1.00
-0.11,-0.32,-1.00
-0.12,-0.32,-1.00
-0.12,-0.31,-1.01
-0.13,-0.31,-1.01
-0.14,-0.31,-1.01
-0.15,-0.31,-1.02
-0.16,-0.31,-1.03
-0.18,-0.31,-1.04
-0.19,-0.31,-1.06
-0.20,-0.31,-1.08
-0.20,-0.31,-1.09
-0.20,-0.32,-1.10
-0.20,-0.32,-1.12
-0.20,-0.32,-1.12
-0.19,-0.33,-1.13
-0.19,-0.34,-1.13
-0.18,-0.35,-1.13
-0.17,-0.35,-1.12
-0.15,-0.36,-1.11
-0.14,-0.36,-1.10
-0.11,-0.36,-1.09
-0.09,-0.35,-1.07
-0.06,-0.34,-1.04
-0.04,-0.33,-1.02
-0.02,-0.33,-1.00
-0.00,-0.32,-0.98
0.02,-0.31,-0.97
0.03,-0.30,-0.96
0.04,-0.29,-0.95
0.04,-0.29,-0.95
0.04,-0.28,-0.95
0.04,-0.27,-0.95
0.04,-0.26,-0.95
0.03,-0.24,-0.95
0.02,-0.23,-0.96
0.01,-0.22,-0.96
0.01,-0.21,-0.97
-0.00,-0.20,-0.97
-0.01,-0.20,-0.97
-0.01,-0.20,-0.97
-0.02,-0.20,-0.98
-0.02,-0.20,-0.98
-0.02,-0.20,-0.98
-0.02,-0.20,-0.98
-0.02,-0.20,-0.98
-0.02,-0.21,-0.98
-0.02,-0.21,-0.98
-0.01,-0.21,-0.98
-0.01,-0.21,-0.98
0.00,-0.21,-0.98
0.01,-0.21,-0.97
0.02,-0.21,-0.97
0.02,-0.21,-0.97
0.02,-0.21,-0.97
0.03,-0.21,-0.97
0.03,-0.21,-0.96
0.03,-0.20,-0.96
0.03,-0.20,-0.96
0.02,-0.19,-0.95
0.02,-0.18,-0.95
0.02,-0.17,-0.95
0.01,-0.16,-0.95
0.01,-0.15,-0.96
0.00,-0.14,-0.96
0.00,-0.12,-0.97
-0.00,-0.11,-0.98
-0.01,-0.10,-0.98
-0.01,-0.08,-0.99
-0.01,-0.07,-1.00
-0.01,-0.07,-1.01
-0.01,-0.06,-1.02
-0.01,-0.06,-1.02
-0.00,-0.05,-1.03
0.00,-0.05,-1.04
0.00,-0.05,-1.05
0.00,-0.05,-1.07
