sample13
ax,ay,az
0.12,-0.12,-0.98
0.09,-0.11,-0.97
0.06,-0.10,-0.96
0.03,-0.09,-0.95
0.00,-0.09,-0.94
-0.02,-0.08,-0.93
-0.05,-0.08,-0.91
-0.08,-0.07,-0.90
-0.08,-0.08,-0.88
-0.08,-0.08,-0.86
-0.08,-0.09,-0.85
-0.08,-0.09,-0.83
-0.09,-0.10,-0.81
-0.10,-0.11,-0.79
-0.11,-0.12,-0.78
-0.13,-0.12,-0.76
-0.14,-0.12,-0.74
-0.16,-0.12,-0.73
-0.17,-0.12,-0.72
-0.18,-0.11,-0.72
-0.19,-0.11,-0.71
-0.19,-0.10,-0.71
-0.19,-0.09,-0.72
-0.19,-0.09,-0.72
-0.19,-0.08,-0.73
-0.18,-0.08,-0.74
-0.18,-0.08,-0.75
-0.17,-0.08,-0.77
-0.17,-0.08,-0.79
-0.17,-0.08,-0.81
-0.17,-0.08,-0.83
-0.17,-0.08,-0.86
-0.18,-0.08,-0.90
-0.18,-0.09,-0.93
-0.19,-0.10,-0.98
-0.20,-0.11,-1.02
-0.21,-0.12,-1.06
-0.22,-0.13,-1.10
-0.22,-0.14,-1.13
-0.23,-0.15,-1.16
-0.24,-0.16,-1.19
-0.24,-0.16,-1.20
-0.24,-0.17,-1.21
-0.24,-0.17,-1.21
-0.23,-0.16,-1.21
-0.22,-0.16,-1.20
-0.21,-0.15,-1.18
-0.19,-0.15,-1.15
-0.18,-0.14,-1.12
-0.16,-0.14,-1.09
-0.15,-0.14,-1.06
-0.13,-0.14,-1.03
-0.12,-0.14,-1.00
-0.10,-0.14,-0.98
-0.09,-0.14,-0.97
-0.09,-0.15,-0.96
-0.09,-0.16,-0.97
-0.09,-0.17,-0.98
-0.10,-0.20,-1.01
-0.12,-0.22,-1.05
-0.14,-0.25,-1.09
-0.16,-0.27,-1.14
-0.19,-0.30,-1.21
-0.22,-0.32,-1.27
-0.26,-0.34,-1.33
-0.30,-0.35,-1.39
-0.33,-0.35,-1.44
-0.36,-0.35,-1.48
-0.39,-0.35,-1.50
-0.42,-0.34,-1.52
-0.43,-0.33,-1.52
-0.45,-0.32,-1.52
-0.45,-0.32,-1.50
-0.45,-0.31,-1.48
-0.45,-0.31,-1.46
-0.45,-0.30,-1.43
-0.43,-0.30,-1.40
-0.42,-0.30,-1.37
-0.40,-0.30,-1.33
